resourceinstance_id,file_statement__file,file_statement__file_uuid,file_statement__file_statement_type,file_statement__file_statement_language,file_statement__file_statement_content,row_num
199e8923-c314-46ab-8e89-c0d07a08bf81,biolk_sC_100x_spot3.txt,09452bc1-c53d-4c01-93a7-cf838c762e9f,brief text,English (language),"100xL, low gain, orange area, very high fluorescence",1
199e8923-c314-46ab-8e89-c0d07a08bf81,biolk_sC_100x_spot3.txt,09452bc1-c53d-4c01-93a7-cf838c762e9f,interpretation,English (language),Fluorescence only,2
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,biolk_sC_100x_spot1.txt,0e04427c-6a89-45fe-bd6c-ac8926263b4e,interpretation,English (language),Fluorescence only,3
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,biolk_sC_100x_spot1.txt,0e04427c-6a89-45fe-bd6c-ac8926263b4e,brief text,English (language),"100xL, low gain, orange area, very high fluorescence",4
4ec84f54-c27f-4880-8339-146eb381363b,biolk_sC_100x_spot4.txt,a38326d2-3980-40c1-a34a-c20931def52e,brief text,English (language),"100xL, low gain, orange area, very high fluorescence",5
4ec84f54-c27f-4880-8339-146eb381363b,biolk_sC_100x_spot4.txt,a38326d2-3980-40c1-a34a-c20931def52e,interpretation,English (language),Fluorescence only,6
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,biolk_sA2_50x_spot1.txt,6150f5d5-0c88-4376-9757-292e6efcde9b,interpretation,English (language),indigo,7
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,biolk_sA2_20x_spot1.txt,3e1b0909-651e-4444-8285-d47a8e2e271a,interpretation,English (language),indigo,8
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,biolk_sA2_50x_spot1.txt,6150f5d5-0c88-4376-9757-292e6efcde9b,brief text,English (language),"50xL, low gain, dark area, high fluorescence",9
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,biolk_sA2_20x_spot1.txt,3e1b0909-651e-4444-8285-d47a8e2e271a,brief text,English (language),"20x, low gain, dark area, high fluorescence",10
